WBGene00004408	Q93572
WBGene00016603	A4LBC2
WBGene00002148	Q4PIU4
WBGene00000923	O61219
WBGene00007256	Q17581
WBGene00008064	Q93364
WBGene00016140	Q10578
WBGene00019457	P34511
WBGene00010178	Q2PJ77
WBGene00021208	A0A3P6N6A5
WBGene00015481	P48053
WBGene00012362	O18183
WBGene00001496	O02254
WBGene00021482	A0A163UTK6
WBGene00011696	G5ED80
WBGene00006934	Q22639
WBGene00022037	Q9N302
WBGene00001023	Q09446
WBGene00020197	Q22120
WBGene00012768	Q9U2H9
WBGene00008974	Q93534
WBGene00022453	Q9N489
WBGene00004106	P91094
WBGene00009812	P53588
WBGene00021910	G5EF60
WBGene00002152	Q21926
WBGene00006349	Q10669
WBGene00008502	Q19103
WBGene00019323	O44985
WBGene00009082	Q19749
WBGene00004502	O16368
WBGene00015021	O61741
WBGene00006607	G5EC40
WBGene00016317	Q09268
WBGene00000548	H2KZM6
WBGene00020425	O76413
WBGene00021097	O02108
WBGene00003163	G5EG44
WBGene00019467	O01886
WBGene00021686	Q9BL15
WBGene00019003	O44738
WBGene00001088	Q10661
WBGene00021328	Q9N452
WBGene00006776	G5EF96
WBGene00000762	Q8I7J4
WBGene00012097	G5EFG4
WBGene00022233	Q8MXR3
WBGene00022749	O44895
WBGene00012713	O45924
WBGene00018974	H2KYR2
WBGene00016188	Q18286
WBGene00008405	Q09512
WBGene00007684	Q18095
WBGene00003950	P91477
WBGene00004501	Q18787
WBGene00013004	O18199
WBGene00015126	P34256
WBGene00020462	Q22431
WBGene00021209	V6CIT8
WBGene00006964	Q9U299
WBGene00019209	H2L0C0
WBGene00003733	G5ED88
WBGene00000480	Q18905
WBGene00018764	A0A2K5ATP6
WBGene00000269	Q9GUM2
WBGene00006415	Q20183
WBGene00010408	Q9NCE1
WBGene00016333	Q86GU3
WBGene00003123	P49029
WBGene00001972	Q09390
WBGene00000205	O61861
WBGene00020185	P91427
WBGene00010557	P54815
WBGene00018317	Q20298
WBGene00022793	P34669
WBGene00013878	Q23272
WBGene00004766	O17528
WBGene00000466	Q17607
WBGene00010671	Q21342
WBGene00019163	Q8WTJ4
WBGene00000209	P90921
WBGene00019716	O76687
WBGene00004126	Q20576
WBGene00017158	H2KZ29
WBGene00000105	G5EES3
WBGene00001026	Q95QQ1
WBGene00001393	Q9NEQ0
WBGene00017816	P91277
WBGene00022666	Q94313
WBGene00014218	P34600
WBGene00008601	Q19237
WBGene00014012	P34649
WBGene00008990	P90841
WBGene00008532	G5ECW7
WBGene00000064	P10984
WBGene00011449	Q22174
WBGene00015955	Q18075
WBGene00002210	Q21017
WBGene00000198	Q9N5Y2
WBGene00017993	Q19973
WBGene00012762	O62436
WBGene00019719	H2L0G8
WBGene00006396	Q9U226
WBGene00015186	P90992
WBGene00009306	P91859
WBGene00020399	Q9TZI2
WBGene00016439	Q8WQG1
WBGene00011300	P32743
WBGene00008480	Q19052
WBGene00014058	Q09629
WBGene00015978	Q18099
WBGene00000095	O02219
WBGene00007696	Q9U3P5
WBGene00011922	Q22674
WBGene00000226	Q22258
WBGene00009851	Q20573
WBGene00018072	Q20069
WBGene00022381	Q9N2W5
WBGene00001169	P53013
WBGene00003806	Q9N4A7
WBGene00004343	Q03570
WBGene00008362	Q18937
WBGene00012738	Q9XWP7
WBGene00013167	Q9NA99
WBGene00000123	P16356
WBGene00002335	P22981
WBGene00008882	Q93520
WBGene00010882	G5EBK4
WBGene00016200	Q09477
WBGene00021810	Q9N3F6
WBGene00012393	B3KYB9
WBGene00022427	U4PBG7
WBGene00021068	Q9N5B5
WBGene00000941	Q9N408
WBGene00013530	A0A078BPK7
WBGene00003372	Q09510
WBGene00013580	H8ESG0
WBGene00021004	O16997
WBGene00014078	Q23591
WBGene00004442	Q21930
WBGene00017996	O44186
WBGene00022053	Q9BKQ9
WBGene00004931	P31161
WBGene00001978	P90947
WBGene00015567	H2KYJ3
WBGene00017286	P52057
WBGene00015161	Q10944
WBGene00013093	K8F804
WBGene00009574	G5EGF1
WBGene00000837	Q17390
WBGene00003914	Q4TT88
WBGene00013919	Q09641
WBGene00003423	G5EFS2
WBGene00012459	Q9XXJ1
WBGene00018672	Q10122
WBGene00004355	Q22307
WBGene00021536	Q9N3Y1
WBGene00007054	Q8T3G2
WBGene00001093	Q8WQC9
WBGene00020268	O16521
WBGene00006059	Q20752
WBGene00015344	H2KYE0
WBGene00019686	Q9N5G9
WBGene00003948	O62102
WBGene00006993	Q95QC4
WBGene00000424	Q03206
WBGene00002076	A0A131MBF9
WBGene00021752	Q9N3L2
WBGene00004378	G5ED36
WBGene00009445	Q20058
WBGene00021934	Q9N358
WBGene00019122	H2KYU7
WBGene00021548	Q9TXY8
WBGene00015777	Q09972
WBGene00007010	P34552
WBGene00009801	Q20500
WBGene00000869	Q18853
WBGene00021443	Q65XX5
WBGene00004684	Q19491
WBGene00022748	Q9NHZ6
WBGene00000192	G5EDC6
WBGene00016601	P91156
WBGene00002957	Q17336
WBGene00004323	G5EEH0
WBGene00000140	Q9N4M4
WBGene00005663	Q18678
WBGene00004862	Q7JM44
WBGene00015413	O44451
WBGene00010942	Q21551
WBGene00007645	Q93230
WBGene00006704	P34477
WBGene00021906	Q7YZG7
WBGene00007556	P54002
WBGene00022703	P34631
WBGene00011720	G5EDY1
WBGene00012692	Q9NEU5
WBGene00013462	Q95PZ2
WBGene00000532	G5EGT4
WBGene00004918	P34659
WBGene00006933	Q21053
WBGene00007651	Q93238
WBGene00021522	Q95Y05
WBGene00007646	Q93235
WBGene00017760	H2KZV4
WBGene00014243	Q21106
WBGene00007105	Q93156
WBGene00011970	E2JL05
WBGene00016395	O44953
WBGene00018898	L8E6W9
WBGene00001230	Q19706
WBGene00008429	O17736
WBGene00007647	Q93231
WBGene00013695	H1UBJ1
WBGene00004916	Q10013
WBGene00000149	Q10651
WBGene00021506	Q95Y24
WBGene00012037	O18131
WBGene00008664	Q93459
WBGene00003928	Q09583
WBGene00012643	G5EEN7
WBGene00009307	O62198
WBGene00010878	B7WN91
WBGene00001649	Q9XTQ5
WBGene00006730	O45495
WBGene00001443	P34268
WBGene00018193	O61201
WBGene00022475	H2KZI8
WBGene00003796	G5EEH9
WBGene00006701	P52478
WBGene00004760	Q19317
WBGene00018847	Q400N4
WBGene00019863	Q21692
WBGene00020383	O02161
WBGene00020596	Q1WBU8
WBGene00006369	G5EEV4
WBGene00012466	Q9XXI1
WBGene00004914	Q17348
WBGene00010139	Q95ZS5
WBGene00004117	A5JYW9
WBGene00012015	Q17761
WBGene00004706	O62185
WBGene00013668	Q8WQB6
WBGene00006715	Q9TZ69
WBGene00016794	Q9GYR0
WBGene00003053	Q11117
WBGene00022121	Q6AW08
WBGene00011250	O45719
WBGene00015927	A0A486WV95
WBGene00011144	P30643
WBGene00013189	U4PQS1
WBGene00014066	Q09615
WBGene00001085	G5EGE9
WBGene00020107	Q21994
WBGene00000914	Q09555
WBGene00020402	Q9TZH8
WBGene00000186	G5EBZ8
WBGene00015499	O01483
WBGene00009654	A7LPF3
WBGene00010844	Q21486
WBGene00002023	Q17849
WBGene00013239	Q9U237
WBGene00003592	Q5H9N3
WBGene00001485	G5EGH9
WBGene00001746	Q9U2Q9
WBGene00000200	P53489
WBGene00013703	Q9U304
WBGene00001835	Q09440
WBGene00000410	Q9TVL3
WBGene00010044	Q20760
WBGene00001497	Q86B36
WBGene00018995	O76373
WBGene00001345	G5ECG2
WBGene00022388	E9RKC7
WBGene00020822	Q22794
WBGene00021316	A0A486WWC7
WBGene00015176	O01839
WBGene00017304	Q8MNT9
WBGene00022794	P34670
WBGene00000223	Q86MD3
WBGene00023497	Q27395
WBGene00012359	O18181
WBGene00014204	Q23382
WBGene00015181	Q11073
WBGene00022052	Q9BKQ6
WBGene00004917	Q18786
WBGene00009952	O45552
WBGene00020031	O61794
WBGene00009027	Q93547
WBGene00022042	Q86S66
WBGene00022149	Q95XN0
WBGene00002001	P34183
WBGene00021394	H2KZW8
WBGene00017268	Q19207
WBGene00044689	A0A0K3AXH1
WBGene00009594	H2L266
WBGene00021239	X5LPW2
WBGene00002632	O61967
WBGene00013859	G5EBP5
WBGene00017855	P91280
WBGene00019402	Q09385
WBGene00016610	Q94177
WBGene00019124	O01900
WBGene00002060	Q21693
WBGene00011230	O45717
WBGene00022280	Q9N2X7
WBGene00002241	P34705
WBGene00013132	G5ECN5
WBGene00017734	Q9TXI4
WBGene00013732	A0A1I6CM90
WBGene00001137	P90735
WBGene00008371	Q18949
WBGene00015156	Q10946
WBGene00007028	G5EEV2
WBGene00001632	O61397
WBGene00006384	A0A1I6CMF0
WBGene00018417	P34433
WBGene00003209	Q94420
WBGene00015926	B1Q249
WBGene00004384	Q10667
WBGene00016120	A0A2K5ATR5
WBGene00004467	O76577
WBGene00013311	G3MU88
WBGene00003221	Q10665
WBGene00009770	Q8I4I7
WBGene00019673	W6RXW2
WBGene00007952	Q18476
WBGene00013738	Q9NEW7
WBGene00018017	Q19989
WBGene00019946	H2L0H3
WBGene00010615	P90914
WBGene00000090	Q94125
WBGene00008805	Q19467
WBGene00009188	A7LPI4
WBGene00008940	Q19580
WBGene00003061	Q9N4L8
WBGene00007025	Q9XUS2
WBGene00002071	Q22170
WBGene00001911	P62784
WBGene00017285	Q19257
WBGene00013160	Q9NAA5
WBGene00010550	Q7JKG4
WBGene00021854	Q965T2
WBGene00020169	Q22111
WBGene00000381	P46550
WBGene00010507	Q9U3C4
WBGene00006604	P34708
WBGene00022301	Q9N4C2
WBGene00001915	Q27484
WBGene00004744	Q18968
WBGene00016378	W6SBE0
WBGene00001582	P90902
WBGene00001016	Q9U3F2
WBGene00012244	Q23155
WBGene00007922	Q09496
WBGene00011198	Q21899
WBGene00012602	Q9NAI7
WBGene00006359	Q10580
WBGene00021930	Q9N362
WBGene00021751	A0A6V7QZG4
WBGene00022166	Q9BL28
WBGene00002187	O44408
WBGene00009254	G5EFJ4
WBGene00000187	Q20758
WBGene00020838	Q86NB7
WBGene00018509	P91305
WBGene00017298	Q19253
WBGene00022296	Q9N4C3
WBGene00004767	Q93794
WBGene00013434	G2HK16
WBGene00016562	H2KYQ1
