Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB generic accession number (TrEMBL or SwissProt not differentiated) ID	Gene start (bp)	Gene end (bp)
YER076C	YER076C_mRNA	P40049	A0A8H8ULU2	312590	313498
YDL152W	YDL152W_mRNA	Q12394	Q12394	182822	183187
YBR238C	YBR238C_mRNA	P38330	P38330	695107	697302
YBR238C	YBR238C_mRNA	P38330	A0A6V8S462	695107	697302
YLR007W	YLR007W_mRNA	Q07913	Q07913	164392	165402
YLR007W	YLR007W_mRNA	Q07913	A0A8H4F9V3	164392	165402
YOR014W	YOR014W_mRNA	P38903	P38903	357674	359947
YDR432W	YDR432W_mRNA	Q01560	Q01560	1328783	1330027
YDR432W	YDR432W_mRNA	Q01560	A0A6A5PYH5	1328783	1330027
YLR406C-A	YLR406C-A_mRNA	Q8TGT1	Q8TGT1	932206	932355
YLR406C-A	YLR406C-A_mRNA	Q8TGT1	A0A8H4F8U8	932206	932355
YBR067C	YBR067C_mRNA	P27654	P27654	372103	372735
YBR067C	YBR067C_mRNA	P27654	A0A8H4BTE3	372103	372735
YEL021W	YEL021W_mRNA	P03962	P03962	116167	116970
YEL021W	YEL021W_mRNA	P03962	A0A6L0ZF62	116167	116970
YFL045C	YFL045C_mRNA	P07283	P07283	43628	44392
YFL045C	YFL045C_mRNA	P07283	A0A6A5PZC5	43628	44392
YBR010W	YBR010W_mRNA	P61830	P61830	256331	256741
YBR010W	YBR010W_mRNA	P61830	A0A6A5Q536	256331	256741
YOR346W	YOR346W_mRNA	P12689	P12689	981828	984785
YOR346W	YOR346W_mRNA	P12689	A0A8H4F8W5	981828	984785
YGL018C	YGL018C_mRNA	P53193	A0A6A5PUZ7	459110	459664
YGL018C	YGL018C_mRNA	P53193	P53193	459110	459664
YKL116C	YKL116C_mRNA	P28708	P28708	221344	222900
YKL116C	YKL116C_mRNA	P28708	A0A8H4BXT4	221344	222900
YKR089C	YKR089C_mRNA	P36165	A0A6A5PVN4	605633	608365
YKR089C	YKR089C_mRNA	P36165	P36165	605633	608365
YML082W	YML082W_mRNA	Q04533	Q04533	101862	103811
YML082W	YML082W_mRNA	Q04533	A0A6A5PSN1	101862	103811
YDL022C-A	YDL022C-A_mRNA	P0C5L6	P0C5L6	409808	410056
YLL015W	YLL015W_mRNA	P14772	A0A8H4BZ72	116432	121111
YLL015W	YLL015W_mRNA	P14772	P14772	116432	121111
YPL058C	YPL058C_mRNA	Q02785	A0A8H4F6Z5	445842	450377
YPL058C	YPL058C_mRNA	Q02785	Q02785	445842	450377
YPL073C	YPL073C_mRNA	P40323	P40323	418499	418984
YMR300C	YMR300C_mRNA	P04046	A0A6A5PUG2	865559	867091
YMR300C	YMR300C_mRNA	P04046	P04046	865559	867091
YOR044W	YOR044W_mRNA	Q08416	A0A8H4F776	413007	413480
YOR044W	YOR044W_mRNA	Q08416	Q08416	413007	413480
YEL026W	YEL026W_mRNA	P39990	P39990	101943	102323
YEL026W	YEL026W_mRNA	P39990	A0A6A5PW82	101943	102323
YKR018C	YKR018C_mRNA	P36114	P36114	473723	475900
YKR018C	YKR018C_mRNA	P36114	A0A8H4F8V8	473723	475900
YDL114W-A	YDL114W-A_mRNA	P0C5M5	P0C5M5	254935	255048
YNR039C	YNR039C_mRNA	P53735	P53735	697614	699431
YNR039C	YNR039C_mRNA	P53735	A0A8H4BW71	697614	699431
YPR197C	YPR197C_mRNA	A0A023PXI5	A0A023PXI5	933898	934461
YNL103W-A	YNL103W-A_mRNA	Q8TGQ9	Q8TGQ9	426719	426808
YDR410C	YDR410C_mRNA	P32584	A0A8H8UNV4	1292372	1293091
YDR410C	YDR410C_mRNA	P32584	P32584	1292372	1293091
YGL188C	YGL188C_mRNA	P53098	P53098	149343	149516
YKR079C	YKR079C_mRNA	P36159	A0A8H4BY71	586789	589305
YKR079C	YKR079C_mRNA	P36159	P36159	586789	589305
YIL005W	YIL005W_mRNA	P40557	A0A8H4F9Q3	345692	347797
YIL005W	YIL005W_mRNA	P40557	P40557	345692	347797
YJL117W	YJL117W_mRNA	P46956	A0A6A5PWK1	192531	193466
YJL117W	YJL117W_mRNA	P46956	P46956	192531	193466
YDR464C-A	YDR464C-A_mRNA	Q8TGP5	Q8TGP5	1392492	1392680
YLR343W	YLR343W_mRNA	Q06135	Q06135	816094	817761
YBL054W	YBL054W_mRNA	P34219	P34219	117589	119166
YBL054W	YBL054W_mRNA	P34219	A0A8H4F6G4	117589	119166
YHR160C	YHR160C_mRNA	P38855	P38855	419221	420072
YHR160C	YHR160C_mRNA	P38855	A0A8H4F9Y2	419221	420072
YPR088C	YPR088C_mRNA	P20424	A0A6A5Q7H9	711403	713028
YPR088C	YPR088C_mRNA	P20424	P20424	711403	713028
YDL072C	YDL072C_mRNA	Q07451	Q07451	329836	330447
YDL072C	YDL072C_mRNA	Q07451	A0A8H8UML3	329836	330447
YDR053W	YDR053W_mRNA	Q07790	Q07790	560249	560644
YLR269C	YLR269C_mRNA	O13550	O13550	680866	681216
YDL012C	YDL012C_mRNA	Q12489	Q12489	431108	431517
YNL052W	YNL052W_mRNA	P00424	A0A6A5Q8F6	531725	532186
YNL052W	YNL052W_mRNA	P00424	P00424	531725	532186
YDR482C	YDR482C_mRNA	Q03375	A0A6A5PZG6	1420431	1420838
YDR482C	YDR482C_mRNA	Q03375	Q03375	1420431	1420838
YMR262W	YMR262W_mRNA	P38430	P38430	793726	794667
YMR262W	YMR262W_mRNA	P38430	A0A6L0ZVA1	793726	794667
YDL070W	YDL070W_mRNA	Q07442	A0A8H8UML4	331024	332940
YDL070W	YDL070W_mRNA	Q07442	Q07442	331024	332940
YKL153W	YKL153W_mRNA	P36058	P36058	163600	164109
YBR209W	YBR209W_mRNA	P38311	A0A8H4F800	642583	642900
YBR209W	YBR209W_mRNA	P38311	P38311	642583	642900
YPL254W	YPL254W_mRNA	Q12060	Q12060	69485	70951
YPL254W	YPL254W_mRNA	Q12060	A0A8H4F6T3	69485	70951
YOR275C	YOR275C_mRNA	Q12033	Q12033	839084	841069
YOR275C	YOR275C_mRNA	Q12033	A0A8H4BWH5	839084	841069
YNL120C	YNL120C_mRNA	P53922	P53922	401033	401518
YOR174W	YOR174W_mRNA	Q12343	Q12343	658747	659601
YOR174W	YOR174W_mRNA	Q12343	A0A6A5Q2S0	658747	659601
YER040W	YER040W_mRNA	P18494	P18494	229795	231987
YER040W	YER040W_mRNA	P18494	A0A8H8ULQ4	229795	231987
YGR126W	YGR126W_mRNA	P53274	A0A6A5PZR8	745835	746527
YGR126W	YGR126W_mRNA	P53274	P53274	745835	746527
YBL060W	YBL060W_mRNA	P34225	P34225	107932	109995
YBL060W	YBL060W_mRNA	P34225	A0A8H4BUY5	107932	109995
YDR064W	YDR064W_mRNA	P05756	P05756	579458	580452
YGL065C	YGL065C_mRNA	P43636	P43636	379760	381271
YKL027W	YKL027W_mRNA	P36101	P36101	387562	388905
YGL014W	YGL014W_mRNA	P25339	P25339	466141	468807
YGL014W	YGL014W_mRNA	P25339	A0A8H4FA68	466141	468807
YBR089W	YBR089W_mRNA	P38252	P38252	425183	425782
YDL135C	YDL135C_mRNA	Q12434	Q12434	218680	219288
YDL135C	YDL135C_mRNA	Q12434	A0A6A5Q0S1	218680	219288
YGL100W	YGL100W_mRNA	P53011	A0A8H4C1Y5	313234	314283
YGL100W	YGL100W_mRNA	P53011	P53011	313234	314283
YLR210W	YLR210W_mRNA	P24871	P24871	562008	563390
YLR210W	YLR210W_mRNA	P24871	A0A8H4BYA7	562008	563390
YDL077C	YDL077C_mRNA	Q07468	Q07468	316971	320120
YDL077C	YDL077C_mRNA	Q07468	A0A8H8UMK9	316971	320120
YBR025C	YBR025C_mRNA	P38219	P38219	290681	291865
YBR025C	YBR025C_mRNA	P38219	A0A6A5Q4X6	290681	291865
YMR031C	YMR031C_mRNA	Q05050	Q05050	332212	334743
YMR031C	YMR031C_mRNA	Q05050	A0A8H4BXP6	332212	334743
YLR058C	YLR058C_mRNA	P37291	A0A6A5PQM7	257992	259401
YLR058C	YLR058C_mRNA	P37291	P37291	257992	259401
YGR288W	YGR288W_mRNA	P53338	I7LE96	1070293	1071714
YGR288W	YGR288W_mRNA	P53338	P53338	1070293	1071714
YMR016C	YMR016C_mRNA	P53438	A0A8H4BXN7	303236	305593
YMR016C	YMR016C_mRNA	P53438	P53438	303236	305593
YMR066W	YMR066W_mRNA	Q04748	A0A8H4BXR6	401541	404237
YMR066W	YMR066W_mRNA	Q04748	Q04748	401541	404237
YDR354C-A	YDR354C-A_mRNA	Q8TGP6	Q8TGP6	1185139	1185282
YHR085W	YHR085W_mRNA	P38803	A0A6A5PZN9	276764	277768
YHR085W	YHR085W_mRNA	P38803	P38803	276764	277768
YNL002C	YNL002C_mRNA	P40693	P40693	626174	627142
YNL002C	YNL002C_mRNA	P40693	A0A8H4BY26	626174	627142
YOR336W	YOR336W_mRNA	P22023	P22023	949773	953870
YOR336W	YOR336W_mRNA	P22023	A0A8H4BV98	949773	953870
YIL169C	YIL169C_mRNA	P40442	P40442	23119	26106
YOL094C	YOL094C_mRNA	P40339	P40339	141584	142555
YOL094C	YOL094C_mRNA	P40339	A0A6A5Q7X4	141584	142555
YEL016C	YEL016C_mRNA	P39997	A0A8H8ULJ9	124737	126218
YEL016C	YEL016C_mRNA	P39997	P39997	124737	126218
YLR145W	YLR145W_mRNA	Q12530	Q12530	432168	432773
YLR145W	YLR145W_mRNA	Q12530	A0A6A5PYM6	432168	432773
YFL068W	YFL068W_mRNA	P0CX99	P0CY01	53	535
YFL068W	YFL068W_mRNA	P0CX99	A0A8H8UL23	53	535
YFL068W	YFL068W_mRNA	P0CX99	P0CX99	53	535
YFL068W	YFL068W_mRNA	P0CX99	P0CY00	53	535
YFL068W	YFL068W_mRNA	P0CY00	P0CY01	53	535
YFL068W	YFL068W_mRNA	P0CY00	A0A8H8UL23	53	535
YFL068W	YFL068W_mRNA	P0CY00	P0CX99	53	535
YFL068W	YFL068W_mRNA	P0CY00	P0CY00	53	535
YFL068W	YFL068W_mRNA	P0CY01	P0CY01	53	535
YFL068W	YFL068W_mRNA	P0CY01	A0A8H8UL23	53	535
YFL068W	YFL068W_mRNA	P0CY01	P0CX99	53	535
YFL068W	YFL068W_mRNA	P0CY01	P0CY00	53	535
YHR113W	YHR113W_mRNA	P38821	P38821	336337	337809
YHR113W	YHR113W_mRNA	P38821	A0A8H4BZM6	336337	337809
YLR080W	YLR080W_mRNA	Q12396	Q12396	287916	289250
YLR080W	YLR080W_mRNA	Q12396	A0A8H4BX37	287916	289250
YMR007W	YMR007W_mRNA	Q03675	A0A8H4BX88	279960	280340
YMR007W	YMR007W_mRNA	Q03675	Q03675	279960	280340
YGL174W	YGL174W_mRNA	P46947	P46947	174545	175345
YGL174W	YGL174W_mRNA	P46947	A0A8H4C041	174545	175345
YDL033C	YDL033C_mRNA	Q12093	A0A8H8UMP5	392659	393912
YDL033C	YDL033C_mRNA	Q12093	Q12093	392659	393912
YLR443W	YLR443W_mRNA	Q06200	A0A6A5PTX5	1022625	1023971
YLR443W	YLR443W_mRNA	Q06200	Q06200	1022625	1023971
YOR122C	YOR122C_mRNA	P07274	P07274	552298	552887
YJL149W	YJL149W_mRNA	P47005	A0A8H4BZD6	137379	139370
YJL149W	YJL149W_mRNA	P47005	P47005	137379	139370
YKL100W-A	YKL100W-A_mRNA	P0C5P2	P0C5P2	254159	254248
YOR256C	YOR256C_mRNA	Q08693	Q08693	808254	810683
YOR256C	YOR256C_mRNA	Q08693	A0A8H4BV44	808254	810683
YAL030W	YAL030W_mRNA	P31109	P31109	87286	87752
YDL031W	YDL031W_mRNA	Q12389	Q12389	394217	397204
YDL031W	YDL031W_mRNA	Q12389	A0A8H8UMP6	394217	397204
YCR002C	YCR002C_mRNA	P25342	P25342	117380	118348
YCR002C	YCR002C_mRNA	P25342	A0A8H4BSX4	117380	118348
YMR201C	YMR201C_mRNA	P28519	P28519	665845	667044
YDR398W	YDR398W_mRNA	Q04177	Q04177	1267471	1269402
YDR398W	YDR398W_mRNA	Q04177	A0A8H8UNU3	1267471	1269402
YLR325C	YLR325C_mRNA	P49167	P49167	781143	781379
YLR325C	YLR325C_mRNA	P49167	A0A6A5PUL8	781143	781379
YKL035W	YKL035W_mRNA	P32861	P32861	369891	371390
YKL035W	YKL035W_mRNA	P32861	A0A6A5PSL8	369891	371390
YER012W	YER012W_mRNA	P22141	P22141	177835	178431
YER012W	YER012W_mRNA	P22141	A0A6A5Q0W2	177835	178431
YPR010C-A	YPR010C-A_mRNA	A5Z2X5	A5Z2X5	582373	582734
YBR040W	YBR040W_mRNA	P38224	P38224	316968	317864
YBR040W	YBR040W_mRNA	P38224	A0A6A5Q1X6	316968	317864
YHR175W	YHR175W_mRNA	P38865	A0A8H4F9Y6	452872	453441
YHR175W	YHR175W_mRNA	P38865	P38865	452872	453441
YCR035C	YCR035C_mRNA	P25359	P25359	191834	193018
YCR035C	YCR035C_mRNA	P25359	A0A8H4BSP3	191834	193018
YPL223C	YPL223C_mRNA	Q08969	Q08969	128632	129138
YPL223C	YPL223C_mRNA	Q08969	A0A6A5Q5G0	128632	129138
YBR230C	YBR230C_mRNA	P38325	P38325	679549	680050
YAR027W	YAR027W_mRNA	P39547	P39547	183770	184477
YAR027W	YAR027W_mRNA	P39547	A0A8H4C1H5	183770	184477
YOL137W	YOL137W_mRNA	Q08280	Q08280	65621	67114
YOR350C	YOR350C_mRNA	P24720	A0A8H4BVK4	992864	994855
YOR350C	YOR350C_mRNA	P24720	P24720	992864	994855
YPR056W	YPR056W_mRNA	Q12004	Q12004	671126	672142
YPR056W	YPR056W_mRNA	Q12004	A0A8H4BW51	671126	672142
YLL006W	YLL006W_mRNA	P41800	A0A6A5PR64	136586	137866
YLL006W	YLL006W_mRNA	P41800	P41800	136586	137866
YOR196C	YOR196C_mRNA	P32875	A0A6A5Q3S2	715593	716837
YOR196C	YOR196C_mRNA	P32875	P32875	715593	716837
YDR326C	YDR326C_mRNA	Q06681	Q06681	1120609	1124925
YDR326C	YDR326C_mRNA	Q06681	A0A8H8UNM6	1120609	1124925
YGR211W	YGR211W_mRNA	P53303	P53303	915241	916701
YGR211W	YGR211W_mRNA	P53303	A0A6A5PYW6	915241	916701
YPR006C	YPR006C_mRNA	Q12031	Q12031	567269	568996
YPR006C	YPR006C_mRNA	Q12031	A0A8H4BV79	567269	568996
YKL084W	YKL084W_mRNA	P36078	A0A8H4C0C3	280509	280859
YKL084W	YKL084W_mRNA	P36078	P36078	280509	280859
YCR066W	YCR066W_mRNA	P10862	P10862	231500	232963
YCR066W	YCR066W_mRNA	P10862	A0A8H4F7P8	231500	232963
YJR063W	YJR063W_mRNA	P32529	A0A6A5PT23	555195	555572
YJR063W	YJR063W_mRNA	P32529	P32529	555195	555572
YER190W	YER190W_mRNA	P40105	P40105	571480	576525
YER190W	YER190W_mRNA	P40105	A0A8H8UM54	571480	576525
YMR232W	YMR232W_mRNA	Q05670	A0A8H4BYU1	736926	738959
YMR232W	YMR232W_mRNA	Q05670	Q05670	736926	738959
YGL204C	YGL204C_mRNA	P53089	A0A8H4C052	111700	112005
YGL204C	YGL204C_mRNA	P53089	P53089	111700	112005
YDL052C	YDL052C_mRNA	P33333	P33333	362672	363583
YDL052C	YDL052C_mRNA	P33333	A0A8H8UMM9	362672	363583
YER185W	YER185W_mRNA	P40100	A0A7I9BWL7	559454	560365
YER185W	YER185W_mRNA	P40100	P40100	559454	560365
YLR074C	YLR074C_mRNA	Q08004	A0A8H4BX85	281956	282456
YLR074C	YLR074C_mRNA	Q08004	Q08004	281956	282456
YOR380W	YOR380W_mRNA	Q08904	A0A8H4BW99	1051290	1052930
YOR380W	YOR380W_mRNA	Q08904	Q08904	1051290	1052930
YER189W	YER189W_mRNA	P40104	P40104	571155	571523
YMR200W	YMR200W_mRNA	Q03691	Q03691	664752	665522
YMR200W	YMR200W_mRNA	Q03691	A0A8H4BYS2	664752	665522
YEL060C	YEL060C_mRNA	P09232	P09232	40046	41953
YEL060C	YEL060C_mRNA	P09232	A0A8H8ULF5	40046	41953
YFR018C	YFR018C_mRNA	P43599	A0A8H8ULA1	183131	184222
YFR018C	YFR018C_mRNA	P43599	P43599	183131	184222
YMR297W	YMR297W_mRNA	P00729	A0A7I9FV56	861922	863520
YMR297W	YMR297W_mRNA	P00729	P00729	861922	863520
YDR536W	YDR536W_mRNA	P39932	P39932	1508005	1509714
YDR536W	YDR536W_mRNA	P39932	A0A6L0YIE2	1508005	1509714
YOR314W-A	YOR314W-A_mRNA	P0C5R0	P0C5R0	904458	904568
YLR311C	YLR311C_mRNA	Q06158	Q06158	757265	757612
YGR270W	YGR270W_mRNA	P40340	P40340	1027370	1031509
YGR270W	YGR270W_mRNA	P40340	A0A8H8UL00	1027370	1031509
YDR397C	YDR397C_mRNA	Q92317	Q92317	1266366	1266898
YEL052W	YEL052W_mRNA	P32317	P32317	56571	58100
YEL052W	YEL052W_mRNA	P32317	A0A8H8ULG3	56571	58100
YLR191W	YLR191W_mRNA	P80667	A0A8H4FA11	537272	538432
YLR191W	YLR191W_mRNA	P80667	P80667	537272	538432
YNL311C	YNL311C_mRNA	P42843	P42843	49397	51688
YNL311C	YNL311C_mRNA	P42843	A0A8H4BW90	49397	51688
YKL207W	YKL207W_mRNA	P36039	P36039	48194	48955
YKL207W	YKL207W_mRNA	P36039	A0A8H4BXY2	48194	48955
YDL116W	YDL116W_mRNA	P52891	P52891	251566	253746
YDL116W	YDL116W_mRNA	P52891	A0A8H8UMH6	251566	253746
YAL055W	YAL055W_mRNA	P39718	A0A6V8S9F1	42177	42719
YAL055W	YAL055W_mRNA	P39718	P39718	42177	42719
YJL067W	YJL067W_mRNA	P40365	P40365	314084	314434
YLR235C	YLR235C_mRNA	A0A023PXP4	A0A023PXP4	611532	611930
YIL004C	YIL004C_mRNA	P22804	P22804	347946	348505
YJL164C	YJL164C_mRNA	P06244	P06244	109966	111159
YJL164C	YJL164C_mRNA	P06244	A0A8H4C0L3	109966	111159
YER149C	YER149C_mRNA	P40091	P40091	466208	467470
YER149C	YER149C_mRNA	P40091	A0A6A5PYN7	466208	467470
YML026C	YML026C_mRNA	P0CX55	P0CX56	222987	223828
YML026C	YML026C_mRNA	P0CX55	P0CX55	222987	223828
YML026C	YML026C_mRNA	P0CX56	P0CX56	222987	223828
YML026C	YML026C_mRNA	P0CX56	P0CX55	222987	223828
YOL097W-A	YOL097W-A_mRNA	Q3E7Y9	Q3E7Y9	136220	136405
YOL097W-A	YOL097W-A_mRNA	Q3E7Y9	A0A8H4BWJ7	136220	136405
YFR034C	YFR034C_mRNA	P07270	P07270	225020	225958
YFR034C	YFR034C_mRNA	P07270	A0A8H8ULB8	225020	225958
YJL223C	YJL223C_mRNA	P0CE89	A0A8H4BY69	8776	9138
YJL223C	YJL223C_mRNA	P0CE89	P0CE89	8776	9138
YJL223C	YJL223C_mRNA	P0CE89	P0CE88	8776	9138
YJL223C	YJL223C_mRNA	P0CE88	A0A8H4BY69	8776	9138
YJL223C	YJL223C_mRNA	P0CE88	P0CE89	8776	9138
YJL223C	YJL223C_mRNA	P0CE88	P0CE88	8776	9138
YOR376W	YOR376W_mRNA	Q08900	Q08900	1043191	1043559
YOR376W	YOR376W_mRNA	Q08900	A0A6A5Q812	1043191	1043559
YPR129W	YPR129W_mRNA	P45978	A0A8H4BUI0	792687	793736
YPR129W	YPR129W_mRNA	P45978	P45978	792687	793736
Q0250	Q0250_mRNA	P00410	P00410	73758	74513
Q0250	Q0250_mRNA	P00410	A0A0H3WI21	73758	74513
YJL079C	YJL079C_mRNA	P47032	A0A8H4BYG9	289875	290774
YJL079C	YJL079C_mRNA	P47032	P47032	289875	290774
YOR369C	YOR369C_mRNA	P48589	P48589	1028194	1028625
YOR369C	YOR369C_mRNA	P48589	A0A6A5Q8I3	1028194	1028625
YNR007C	YNR007C_mRNA	P40344	P40344	639182	640114
YNR007C	YNR007C_mRNA	P40344	A0A6A5Q5D7	639182	640114
YLR364C-A	YLR364C-A_mRNA	P0C5Q1	P0C5Q1	855523	855645
YHR148W	YHR148W_mRNA	P32899	A0A6A5PXI3	393534	394085
YHR148W	YHR148W_mRNA	P32899	P32899	393534	394085
YPR199C	YPR199C_mRNA	Q06596	Q06596	938148	939032
YPR199C	YPR199C_mRNA	Q06596	A0A8H4FA07	938148	939032
YDR028C	YDR028C_mRNA	Q00816	Q00816	497835	500879
YDR028C	YDR028C_mRNA	Q00816	A0A8H8UMU6	497835	500879
YPL062W	YPL062W_mRNA	Q02781	Q02781	431895	432299
YPR113W	YPR113W_mRNA	P06197	A0A6A5Q3I2	752257	752919
YPR113W	YPR113W_mRNA	P06197	P06197	752257	752919
YGR204W	YGR204W_mRNA	P07245	A0A8H4C326	905934	908774
YGR204W	YGR204W_mRNA	P07245	P07245	905934	908774
YPL166W	YPL166W_mRNA	Q12092	Q12092	237338	237979
YPL166W	YPL166W_mRNA	Q12092	A0A8H4BUM8	237338	237979
YDL007W	YDL007W_mRNA	P40327	P40327	438047	439360
YDL007W	YDL007W_mRNA	P40327	A0A6A5Q382	438047	439360
YML023C	YML023C_mRNA	Q03718	A0A8H4BX71	226994	228664
YML023C	YML023C_mRNA	Q03718	Q03718	226994	228664
YMR143W	YMR143W_mRNA	P0CX51	P0CX52	551928	552903
YMR143W	YMR143W_mRNA	P0CX51	P0CX51	551928	552903
YMR143W	YMR143W_mRNA	P0CX52	P0CX52	551928	552903
YMR143W	YMR143W_mRNA	P0CX52	P0CX51	551928	552903
YGR266W	YGR266W_mRNA	P53326	P53326	1022656	1024761
YGR266W	YGR266W_mRNA	P53326	A0A8H8UKZ7	1022656	1024761
YPR020W	YPR020W_mRNA	Q12233	A0A6A5Q5A2	599870	600217
YPR020W	YPR020W_mRNA	Q12233	Q12233	599870	600217
YMR073C	YMR073C_mRNA	Q04772	A0A8H4BYQ5	412268	412873
YMR073C	YMR073C_mRNA	Q04772	Q04772	412268	412873
YNL291C	YNL291C_mRNA	P41821	A0A8H4BVF7	84169	85815
YNL291C	YNL291C_mRNA	P41821	P41821	84169	85815
YNL195C	YNL195C_mRNA	P40168	P40168	271523	272308
YNL195C	YNL195C_mRNA	P40168	A0A8H4BWJ0	271523	272308
YBL027W	YBL027W_mRNA	P0CX82	P0CX83	168423	169376
YBL027W	YBL027W_mRNA	P0CX82	P0CX82	168423	169376
YBL027W	YBL027W_mRNA	P0CX83	P0CX83	168423	169376
YBL027W	YBL027W_mRNA	P0CX83	P0CX82	168423	169376
YDR236C	YDR236C_mRNA	Q03778	A0A6A5Q1L3	935236	935892
YDR236C	YDR236C_mRNA	Q03778	Q03778	935236	935892
YDR011W	YDR011W_mRNA	P32568	A0A8H8UMT1	465919	470424
YDR011W	YDR011W_mRNA	P32568	P32568	465919	470424
YDR155C	YDR155C_mRNA	P14832	P14832	768512	769000
YDR155C	YDR155C_mRNA	P14832	A0A6A5PXS3	768512	769000
YGL070C	YGL070C_mRNA	P27999	A0A7I9EWC2	374459	374827
YGL070C	YGL070C_mRNA	P27999	P27999	374459	374827
YPL160W	YPL160W_mRNA	P26637	A0A8H4BTR9	246990	250262
YPL160W	YPL160W_mRNA	P26637	P26637	246990	250262
YML069W	YML069W_mRNA	Q04636	A0A6A5PUM6	135500	137158
YML069W	YML069W_mRNA	Q04636	Q04636	135500	137158
YNL087W	YNL087W_mRNA	P48231	P48231	462411	465947
YNL087W	YNL087W_mRNA	P48231	A0A8H4BXV8	462411	465947
YOL132W	YOL132W_mRNA	Q08271	A0A8H4BWH8	71300	72715
YOL132W	YOL132W_mRNA	Q08271	Q08271	71300	72715
YGL225W	YGL225W_mRNA	P40107	A0A7I9EJU0	76894	77907
YGL225W	YGL225W_mRNA	P40107	P40107	76894	77907
YER111C	YER111C_mRNA	P25302	P25302	382595	385876
YER111C	YER111C_mRNA	P25302	A0A8H8ULX6	382595	385876
YML050W	YML050W_mRNA	Q04689	A0A6A5PTH5	173139	174074
YML050W	YML050W_mRNA	Q04689	Q04689	173139	174074
YDR414C	YDR414C_mRNA	P16151	A0A8H8UNV7	1295598	1296686
YDR414C	YDR414C_mRNA	P16151	P16151	1295598	1296686
YDR026C	YDR026C_mRNA	Q12457	Q12457	492556	494268
YDR026C	YDR026C_mRNA	Q12457	A0A8H8UMU4	492556	494268
YBL100C	YBL100C_mRNA	P38168	P38168	36989	37303
YIR014W	YIR014W_mRNA	P40570	P40570	381086	381814
YIR014W	YIR014W_mRNA	P40570	A0A8H4FAZ8	381086	381814
YLR288C	YLR288C_mRNA	Q02574	Q02574	713480	714904
YPL147W	YPL147W_mRNA	P41909	P41909	273255	275867
YPL147W	YPL147W_mRNA	P41909	A0A8H4BVU8	273255	275867
YDL073W	YDL073W_mRNA	Q07454	Q07454	326613	329567
YGL120C	YGL120C_mRNA	P53131	A0A8H4C2M0	281634	283937
YGL120C	YGL120C_mRNA	P53131	P53131	281634	283937
YAL060W	YAL060W_mRNA	P39714	P39714	35155	36303
YAL060W	YAL060W_mRNA	P39714	A0A7S8WHP6	35155	36303
YNL217W	YNL217W_mRNA	P40152	P40152	240331	241311
YNL217W	YNL217W_mRNA	P40152	A0A8H4F7L0	240331	241311
YIR033W	YIR033W_mRNA	P40578	A0A8H4BZB7	416124	419465
YIR033W	YIR033W_mRNA	P40578	P40578	416124	419465
YLL001W	YLL001W_mRNA	P54861	A0A6A5PVX6	147890	150163
YLL001W	YLL001W_mRNA	P54861	P54861	147890	150163
YKR066C	YKR066C_mRNA	P00431	A0A8H4F962	566113	567198
YKR066C	YKR066C_mRNA	P00431	P00431	566113	567198
YLR409C	YLR409C_mRNA	Q06078	A0A8H4FA38	934414	937233
YLR409C	YLR409C_mRNA	Q06078	Q06078	934414	937233
YHR208W	YHR208W_mRNA	P38891	P38891	517532	518713
YHR208W	YHR208W_mRNA	P38891	A0A6A5PXP0	517532	518713
YNL029C	YNL029C_mRNA	P53966	A0A8H4F999	577205	578773
YNL029C	YNL029C_mRNA	P53966	P53966	577205	578773
YHR001W	YHR001W_mRNA	P38755	P38755	106055	107368
YHR001W	YHR001W_mRNA	P38755	A0A8H4C0J3	106055	107368
YLR099C	YLR099C_mRNA	Q12385	A0A6A5PW53	339744	340928
YLR099C	YLR099C_mRNA	Q12385	Q12385	339744	340928
YJL156W-A	YJL156W-A_mRNA	P0C5N9	P0C5N9	126604	126825
YLR131C	YLR131C_mRNA	P21192	A0A8H4BX45	404510	406822
YLR131C	YLR131C_mRNA	P21192	P21192	404510	406822
YER081W	YER081W_mRNA	P40054	A0A6A5Q081	322686	324095
YER081W	YER081W_mRNA	P40054	P40054	322686	324095
YDL115C	YDL115C_mRNA	Q07532	Q07532	253995	255126
YPL107W	YPL107W_mRNA	Q02873	A0A8H4F6R9	349119	349865
YPL107W	YPL107W_mRNA	Q02873	Q02873	349119	349865
YOR296W	YOR296W_mRNA	Q08748	Q08748	870202	874071
YOR296W	YOR296W_mRNA	Q08748	A0A8H4F8U6	870202	874071
YER010C	YER010C_mRNA	P40011	A0A8H8ULM1	172634	173338
YER010C	YER010C_mRNA	P40011	P40011	172634	173338
YML099W-A	YML099W-A_mRNA	Q6B2I9	Q6B2I9	74229	74558
YLR362W	YLR362W_mRNA	P23561	P23561	849866	852019
YLR362W	YLR362W_mRNA	P23561	A0A8H4BZX6	849866	852019
YJL106W	YJL106W_mRNA	P32581	A0A8H4FC50	221390	223327
YJL106W	YJL106W_mRNA	P32581	P32581	221390	223327
YOR260W	YOR260W_mRNA	P09032	P09032	813984	815720
YOR260W	YOR260W_mRNA	P09032	A0A8H4F7K3	813984	815720
YBR261C	YBR261C_mRNA	P38340	P38340	734832	735530
